Color #,Color,Blank Code
18,Blue Surface / Black EB,Blue Surface
20,Blue Surface / Grey EB,Blue Surface
21,London Grey / Grey EB,GREY
22,Marker Board / Black EB,MARKER
23,Marker Board / Grey EB,MARKER
24,Storm Grey / Grey EB,GREY
30,Mossy Oak / Black EB,CHOK
31,Orissa Cherry,CHOK
32,Portland Cherry,CHOK
33,Java Glow,JAVA
34,Exec cherry,CHOK
35,Exec Cherry / Black EB,CHOK
36,Fusion Maple / Fusion EB,MAGR
37,Dogbone Storm / Graphite EB,GREY
38,Tan Echo / Tan Echo EB,TAN
39,Fusion Maple / Black EB,MAGR
40,Exec Cherry / Cherry EB,CHOK
41,Exec Cherry / Black EB,CHOK
42,Mahogany / Mahogany EB,MAHOGANY
43,Mahogany / Black EB,MAHOGANY
44,Solar Oak / Solar Oak EB,CHOK
45,Solar Oak / Black EB,CHOK
46,Wild Apple / Wild Apple EB,APPL
47,Wild Apple / Black EB,APPL
48,Montana Walnut/ Black EB,WALNUT
49,Solar Oak / Black EB,CHOK
50,Fusion Maple / Black EB,MAGR
51,Gray Glace / Blue EB,MAGR
52,Gray Glace / Green EB,MAGR
53,Gray Glace/ Red EB,MAGR
54,Gray Glace/ Yellow EB,MAGR
55,Gray Glace/ Black EB,MAGR
56,Gray Glace / Navy EB,MAGR
57,Gray Glace / Gray EB,MAGR
58,Solar Oak / Solar Oak EB,CHOK
59,Fusion Maple / Fusion EB,MAGR
60,Wild Cherry /Black EB,CHOK
61,Fusion Maple / Grey EB,MAGR
62,Fusion Maple / Blue EB,MAGR
63,Fusion Maple / RED EB,MAGR
64,Fusion Maple  / Green EB,MAGR
65,Fusion Maple / Yellow EB,MAGR
69,Fusion Maple / Fusion EB,MAGR
70,Solar Oak / Red EB,CHOK
77,Grey Nebula / Black EB,Grey Nebula
78,Grey Nebula / Grey EB,Grey Nebula
79,Sand Shoal / Black EB,Sand Shoal
80,Sand Shoal / Grey EB,Sand Shoal
82,Gray Glace / Navy EB,MAGR
