MODEL NUMBER,PANEL NUMBER,DESCRIPTION,BOX WIDTH,SCORE A,SCORE B,SCORE C,SCORE D,SCORE E
41-2423-49BB,320236-101,"20"" x 30"" Rectangle  Solar Oak / Black Edge / Black Leg / Black Front Panel",28,14.875,0.75,15,1,3
41-2423-49BM,320236-133,"20"" x 30"" Rectangle  Solar Oak / Black Edge / Black Leg / Markerboard Front Panel",28,14.875,0.75,15,1,3
41-2423-50BB,320236-101,"20"" x 30"" Rectangle  Fusion Maple / Black Edge / Black Leg / Black Front Panel",28,14.875,0.75,15,1,3
41-2423-50BM,320236-133,"20"" x 30"" Rectangle  Fusion Maple / Black Edge / Black Leg / Markerboard Front Panel",28,14.875,0.75,15,1,3
41-2423-61GG,320236-128,"20"" x 30"" Rectangle  Fusion Maple / Gray Edge / Gray Leg / Gray Front Panel",28,14.875,0.75,15,1,3
41-2423-61GM,320236-134,"20"" x 30"" Rectangle  Fusion Maple / Gray Edge / Gray Leg / Markerboard Front Panel",28,14.875,0.75,15,1,3
41-2423-60BB,320236-101,"20"" x 30"" Rectangle  Wild Cherry / Black Edge / Black Leg / Black Front Panel",28,14.875,0.75,15,1,3
41-2423-60BM,320236-133,"20"" x 30"" Rectangle  Wild Cherry / Black Edge / Black Leg / Markerboard Front Panel",28,14.875,0.75,15,1,3
41-2423-77BB,320236-101,"20"" x 30"" Rectangle  Gray Nebula / Black Edge / Black Leg / Black Front Panel",28,14.875,0.75,15,1,3
41-2423-77BM,320236-133,"20"" x 30"" Rectangle  Gray Nebula / Black Edge / Black Leg / Markerboard Front Panel",28,14.875,0.75,15,1,3
41-2423-78GG,320236-128,"20"" x 30"" Rectangle  Gray Nebula / Gray Edge / Gray Leg / Gray Front Panel",28,14.875,0.75,15,1,3
41-2423-78GM,320236-134,"20"" x 30"" Rectangle  Gray Nebula / Gray Edge / Gray Leg / Markerboard Front Panel",28,14.875,0.75,15,1,3
41-2423-79BB,320236-101,"20"" x 30"" Rectangle  Sand Shoal / Black Edge / Black Leg / Black Front Panel",28,14.875,0.75,15,1,3
41-2423-79BM,320236-133,"20"" x 30"" Rectangle  Sand Shoal / Black Edge / Black Leg / Markerboard Front Panel",28,14.875,0.75,15,1,3
41-2423-80GG,320236-128,"20"" x 30"" Rectangle  Sand Shoal / Gray Edge / Gray Leg / Gray Front Panel",28,14.875,0.75,15,1,3
41-2423-80GM,320236-134,"20"" x 30"" Rectangle  Sand Shoal / Gray Edge / Gray Leg / Markerboard Front Panel",28,14.875,0.75,15,1,3
41-2423-22BM,320236-133,"20"" x 30"" Rectangle  Markerboard / Black Edge / Black Leg / Markerboard Front Panel",28,14.875,0.75,15,1,3
41-2423-22BB,320236-101,"20"" x 30"" Rectangle  Markerboard / Black Edge / Black Leg / Black Front Panel",28,14.875,0.75,15,1,3
41-2423-23GM,320236-134,"20"" x 30"" Rectangle  Markerboard / Gray Edge / Gray Leg / Markerboard Front Panel",28,14.875,0.75,15,1,3
41-2423-23GG,320236-128,"20"" x 30"" Rectangle  Markerboard / Gray Edge / Gray Leg / Gray Front Panel",28,14.875,0.75,15,1,3
41-2420-49BB,320237-101,"20"" x 36"" Rectangle  Solar Oak / Black Edge / Black Leg / Black Front Panel",34.5,14.875,0.75,15,1,3
41-2420-49BM,320237-133,"20"" x 36"" Rectangle  Solar Oak / Black Edge / Black Leg / Markerboard Front Panel",34.5,14.875,0.75,15,1,3
41-2420-50BB,320237-101,"20"" x 36"" Rectangle  Fusion Maple / Black Edge / Black Leg / Black Front Panel",34.5,14.875,0.75,15,1,3
41-2420-50BM,320237-133,"20"" x 36"" Rectangle  Fusion Maple / Black Edge / Black Leg / Markerboard Front Panel",34.5,14.875,0.75,15,1,3
41-2420-61GG,320237-128,"20"" x 36"" Rectangle  Fusion Maple / Gray Edge / Gray Leg / Gray Front Panel",34.5,14.875,0.75,15,1,3
41-2420-61GM,320237-134,"20"" x 36"" Rectangle  Fusion Maple / Gray Edge / Gray Leg / Markerboard Front Panel",34.5,14.875,0.75,15,1,3
41-2420-60BB,320237-101,"20"" x 36"" Rectangle  Wild Cherry / Black Edge / Black Leg / Black Front Panel",34.5,14.875,0.75,15,1,3
41-2420-60BM,320237-133,"20"" x 36"" Rectangle  Wild Cherry / Black Edge / Black Leg / Markerboard Front Panel",34.5,14.875,0.75,15,1,3
41-2420-77BB,320237-101,"20"" x 36"" Rectangle  Gray Nebula / Black Edge / Black Leg / Black Front Panel",34.5,14.875,0.75,15,1,3
41-2420-77BM,320237-133,"20"" x 36"" Rectangle  Gray Nebula / Black Edge / Black Leg / Markerboard Front Panel",34.5,14.875,0.75,15,1,3
41-2420-78GG,320237-128,"20"" x 36"" Rectangle  Gray Nebula / Gray Edge / Gray Leg / Gray Front Panel",34.5,14.875,0.75,15,1,3
41-2420-78GM,320237-134,"20"" x 36"" Rectangle  Gray Nebula / Gray Edge / Gray Leg / Markerboard Front Panel",34.5,14.875,0.75,15,1,3
41-2420-79BB,320237-101,"20"" x 36"" Rectangle  Sand Shoal / Black Edge / Black Leg / Black Front Panel",34.5,14.875,0.75,15,1,3
41-2420-79BM,320237-133,"20"" x 36"" Rectangle  Sand Shoal / Black Edge / Black Leg / Markerboard Front Panel",34.5,14.875,0.75,15,1,3
41-2420-80GG,320237-128,"20"" x 36"" Rectangle  Sand Shoal / Gray Edge / Gray Leg / Gray Front Panel",34.5,14.875,0.75,15,1,3
41-2420-80GM,320237-134,"20"" x 36"" Rectangle  Sand Shoal / Gray Edge / Gray Leg / Markerboard Front Panel",34.5,14.875,0.75,15,1,3
41-2420-22BM,320237-133,"20"" x 36"" Rectangle  Markerboard / Black Edge / Black Leg / Markerboard Front Panel",34.5,14.875,0.75,15,1,3
41-2420-22BB,320237-101,"20"" x 36"" Rectangle  Markerboard / Black Edge / Black Leg / Black Front Panel",34.5,14.875,0.75,15,1,3
41-2420-23GM,320237-134,"20"" x 36"" Rectangle  Markerboard / Gray Edge / Gray Leg / Markerboard Front Panel",34.5,14.875,0.75,15,1,3
41-2420-23GG,320237-128,"20"" x 36"" Rectangle  Markerboard / Gray Edge / Gray Leg / Gray Front Panel",34.5,14.875,0.75,15,1,3
41-2422-49BB,320238-101,"20"" x 60"" Rectangle  Solar Oak / Black Edge / Black Leg / Black Front Panel",58.5,14.875,0.75,15,1,3
41-2422-49BM,320238-133,"20"" x 60"" Rectangle  Solar Oak / Black Edge / Black Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2422-50BB,320238-101,"20"" x 60"" Rectangle  Fusion Maple / Black Edge / Black Leg / Black Front Panel",58.5,14.875,0.75,15,1,3
41-2422-50BM,320238-133,"20"" x 60"" Rectangle  Fusion Maple / Black Edge / Black Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2422-61GG,320238-128,"20"" x 60"" Rectangle  Fusion Maple / Gray Edge / Gray Leg / Gray Front Panel",58.5,14.875,0.75,15,1,3
41-2422-61GM,320238-134,"20"" x 60"" Rectangle  Fusion Maple / Gray Edge / Gray Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2422-60BB,320238-101,"20"" x 60"" Rectangle  Wild Cherry / Black Edge / Black Leg / Black Front Panel",58.5,14.875,0.75,15,1,3
41-2422-60BM,320238-133,"20"" x 60"" Rectangle  Wild Cherry / Black Edge / Black Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2422-77BB,320238-101,"20"" x 60"" Rectangle  Gray Nebula / Black Edge / Black Leg / Black Front Panel",58.5,14.875,0.75,15,1,3
41-2422-77BM,320238-133,"20"" x 60"" Rectangle  Gray Nebula / Black Edge / Black Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2422-78GG,320238-128,"20"" x 60"" Rectangle  Gray Nebula / Gray Edge / Gray Leg / Gray Front Panel",58.5,14.875,0.75,15,1,3
41-2422-78GM,320238-134,"20"" x 60"" Rectangle  Gray Nebula / Gray Edge / Gray Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2422-79BB,320238-101,"20"" x 60"" Rectangle  Sand Shoal / Black Edge / Black Leg / Black Front Panel",58.5,14.875,0.75,15,1,3
41-2422-79BM,320238-133,"20"" x 60"" Rectangle  Sand Shoal / Black Edge / Black Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2422-80GG,320238-128,"20"" x 60"" Rectangle  Sand Shoal / Gray Edge / Gray Leg / Gray Front Panel",58.5,14.875,0.75,15,1,3
41-2422-80GM,320238-134,"20"" x 60"" Rectangle  Sand Shoal / Gray Edge / Gray Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2422-22BM,320238-133,"20"" x 60"" Rectangle  Markerboard / Black Edge / Black Leg / Markerboard Front Panel",58.5,14.875,0.75,15,1,3
41-2422-22BB,320238-101,"20"" x 60"" Rectangle  Markerboard / Black Edge / Black Leg / Black Front Panel",58.5,14.875,0.75,15,1,3
